Spot Pairs,Order Type,Direction,feeCoin,ExecFeeV2,Filled Value,Filled Price,Filled Quantity,Fees,Transaction ID,Order No.,Timestamp (UTC)
COINCUSDT,MARKET,SELL,USDT,0.39199905,391.99905000000000000000,0.35799000000000000000,1095.00000000000000000000,--,2203265229343662479, 94882630,08:35 2026-03-15
COINCUSDT,MARKET,SELL,USDT,0.29337152,293.37152000000000000000,0.35261000000000000000,832.00000000000000000000,--,2270805965806531504, 97391181,18:53 2026-03-14
COINAUSDT,MARKET,BUY,COINA,0.001113,117.00969000000000000000,105.13000000000000000000,1.11300000000000000000,--,2211236465259339305, 65695650,03:18 2026-03-11
COINCUSDT,LIMIT,BUY,COINC,1.679,597.52252000000000000000,0.35588000000000000000,1679.00000000000000000000,--,2204695176046045483, 82677155,19:52 2026-02-27
COINBUSDT,MARKET,SELL,USDT,0.21947544,219.47544000000000000000,2.63160000000000000000,83.40000000000000000000,--,2256454129509225881, 17888985,07:59 2026-02-24
COINAUSDT,MARKET,BUY,COINA,0.000972,99.60084000000000000000,102.47000000000000000000,0.97200000000000000000,--,2268672546670851323, 28475724,07:58 2026-02-16
COINCUSDT,MARKET,SELL,USDT,0.14942184,149.42184000000000000000,0.35241000000000000000,424.00000000000000000000,--,2278554455656394517, 74182553,07:02 2026-02-12
COINBUSDT,MARKET,SELL,USDT,0.5792762,579.27620000000000000000,2.59300000000000000000,223.40000000000000000000,--,2219731858377853697, 42748052,23:31 2026-02-11
COINAUSDT,MARKET,SELL,USDT,0.19125326,191.25326000000000000000,106.37000000000000000000,1.79800000000000000000,--,2298885892441361429, 58498956,08:14 2026-01-28
COINAUSDT,MARKET,BUY,COINA,0.000804,85.48932000000000000000,106.33000000000000000000,0.80400000000000000000,--,2237227946700752610, 21077305,12:18 2026-01-24
COINAUSDT,MARKET,BUY,COINA,0.003985,414.99790000000000000000,104.14000000000000000000,3.98500000000000000000,--,2289831762051346158, 06221496,18:31 2026-01-23
COINBUSDT,MARKET,SELL,USDT,0.4672173,467.21730000000000000000,2.57420000000000000000,181.50000000000000000000,--,2289648632722534694, 09294555,22:19 2026-01-13
COINAUSDT,LIMIT,SELL,USDT,0.39983916,399.83916000000000000000,102.76000000000000000000,3.89100000000000000000,--,2292183765092286846, 50473332,19:00 2026-01-08
COINAUSDT,MARKET,SELL,USDT,0.3760156,376.01560000000000000000,106.52000000000000000000,3.53000000000000000000,--,2235054993594688095, 38064294,14:06 2026-01-05
