Currency,Contract,Type,Direction,Quantity,Position,Filled Price,Funding,Fee Paid,Cash Flow,Change,Wallet Balance,Action,OrderId,TradeId,Time
USDT,COINA-27MAR26-150-P-USDT,TRADE,BUY,2.50000000000000000000,2.50000000000000000000,2.42000000000000000000,0.00000000000000000000,-0.07500000000000000000,-6.05000000000000000000,-6.12500000000000000000,2628.79907851000000000000,OPEN,389db029-9168-04e5-da38-fdc153873b44,4522b50e-463f-11ba-71d9-b7943bb406f7,2026-03-17 12:00:00.962
COINC,COINCUSDT,TRADE,SELL,-1095.00000000000000000000,0.00000000000000000000,0.35799000000000000000,0.00000000000000000000,0.00000000000000000000,-1095.00000000000000000000,-1095.00000000000000000000,389.49379488000000000000,--,7364440310694882630,2203265229343662479,2026-03-15 08:35:15.202
USDT,COINCUSDT,TRADE,SELL,391.99905000000000000000,0.00000000000000000000,0.35799000000000000000,0.00000000000000000000,-0.39199905000000000000,391.99905000000000000000,391.60705095000000000000,1888.92018423000000000000,--,7364440310694882630,2203265229343662479,2026-03-15 08:35:15.088
COINC,COINCUSDT,TRADE,SELL,-832.00000000000000000000,0.00000000000000000000,0.35261000000000000000,0.00000000000000000000,0.00000000000000000000,-832.00000000000000000000,-832.00000000000000000000,589.32499071000000000000,--,8327420446097391181,2270805965806531504,2026-03-14 18:53:19.671
USDT,COINCUSDT,TRADE,SELL,293.37152000000000000000,0.00000000000000000000,0.35261000000000000000,0.00000000000000000000,-0.29337152000000000000,293.37152000000000000000,293.07814848000000000000,2628.79907851000000000000,--,8327420446097391181,2270805965806531504,2026-03-14 18:53:19.570
COINA,COINAUSDT,TRADE,BUY,1.11300000000000000000,0.00000000000000000000,105.13000000000000000000,0.00000000000000000000,-0.00111300000000000000,1.11300000000000000000,1.11188700000000000000,780.06637716000000000000,--,8304276946365695650,2211236465259339305,2026-03-11 03:18:33.894
USDT,COINAUSDT,TRADE,BUY,-117.00969000000000000000,0.00000000000000000000,105.13000000000000000000,0.00000000000000000000,0.00000000000000000000,-117.00969000000000000000,-117.00969000000000000000,2302.75876073000000000000,--,8304276946365695650,2211236465259339305,2026-03-11 03:18:33.407
COINC,COINCUSDT,TRADE,BUY,1679.00000000000000000000,0.00000000000000000000,0.35588000000000000000,0.00000000000000000000,-1.67900000000000000000,1679.00000000000000000000,1677.32100000000000000000,52.48223185000000000000,--,7702374143382677155,2204695176046045483,2026-02-27 19:52:53.593
USDT,COINCUSDT,TRADE,BUY,-597.52252000000000000000,0.00000000000000000000,0.35588000000000000000,0.00000000000000000000,0.00000000000000000000,-597.52252000000000000000,-597.52252000000000000000,1810.80892747000000000000,--,7702374143382677155,2204695176046045483,2026-02-27 19:52:53.253
USDT,COINA-27MAR26-130-P-USDT,TRADE,BUY,3.50000000000000000000,3.50000000000000000000,4.75000000000000000000,0.00000000000000000000,-0.10500000000000000000,-16.62500000000000000000,-16.73000000000000000000,2628.79907851000000000000,OPEN,671308c2-a755-4ce8-3e4b-324ee8b38155,aeaf60b3-9d20-76e6-b471-2ae1b1efe62d,2026-02-27 12:00:00.476
USDT,COINA-27MAR26-140-C-USDT,TRADE,BUY,4.80000000000000000000,4.80000000000000000000,4.74000000000000000000,0.00000000000000000000,-0.14400000000000000000,-22.75200000000000000000,-22.89600000000000000000,2628.79907851000000000000,OPEN,b74f4502-5fa3-70a1-b85f-3c75fba553c1,3c31e8c0-1e12-e588-efe4-96de8ce39836,2026-02-26 12:00:00.517
COINB,COINBUSDT,TRADE,SELL,-83.40000000000000000000,0.00000000000000000000,2.63160000000000000000,0.00000000000000000000,0.00000000000000000000,-83.40000000000000000000,-83.40000000000000000000,447.56128485000000000000,--,3258353067617888985,2256454129509225881,2026-02-24 07:59:47.452
USDT,COINBUSDT,TRADE,SELL,219.47544000000000000000,0.00000000000000000000,2.63160000000000000000,0.00000000000000000000,-0.21947544000000000000,219.47544000000000000000,219.25596456000000000000,1097.87381244000000000000,--,3258353067617888985,2256454129509225881,2026-02-24 07:59:47.398
USDT,COINAUSDT,TRADE,SELL,14.19900000000000000000,0.00000000000000000000,99.26000000000000000000,0.00000000000000000000,-0.77516601000000000000,-34.50357000000000000000,-35.27873601000000000000,878.61784788000000000000,CLOSE,869bd4f2-5283-3733-a5ff-abbc8754f32a,79f6a82b-5535-d7a6-2040-7ce2134b5dbd,2026-02-23 01:00:00.462
USDT,COINAUSDT,SETTLEMENT,BUY,0.00000000000000000000,14.19900000000000000000,101.69344897000000000000,0.02286519000000000000,0.00000000000000000000,0.00000000000000000000,0.02286519000000000000,914.69072686000000000000,SETTLEMENT,f17e4e00-ad72-b377-42ea-a89e55040fb9,dee20239-5de3-b71a-594d-1293a85f89a5,2026-02-23 00:00:00.710
USDT,COINAUSDT,SETTLEMENT,BUY,0.00000000000000000000,14.19900000000000000000,101.69344897000000000000,0.01587129000000000000,0.00000000000000000000,0.00000000000000000000,0.01587129000000000000,914.66786167000000000000,SETTLEMENT,b241f23d-09ba-f379-d339-33542a8336bf,7b1d5564-d68b-a2a0-f580-16eecc66dceb,2026-02-22 16:00:00.895
USDT,COINAUSDT,TRADE,BUY,14.19900000000000000000,14.19900000000000000000,101.69000000000000000000,0.00000000000000000000,-0.79414297000000000000,0.00000000000000000000,-0.79414297000000000000,913.89658389000000000000,OPEN,cf62ae67-7f37-4df1-2fd6-e033da418a18,1efdb117-19b8-6b35-74dc-cd377dd2f089,2026-02-22 10:00:00.887
USDT,COINAUSDT,TRADE,SELL,18.96200000000000000000,0.00000000000000000000,103.54000000000000000000,0.00000000000000000000,-1.07982901000000000000,13.84226000000000000000,12.76243099000000000000,914.65199038000000000000,CLOSE,11a90abc-913d-fbcb-5c1c-c39d8892a1fd,08da858d-bca9-3421-4073-74a754852422,2026-02-21 12:00:00.148
